Time
731
276
112
299
196
150
310
661
450
1074
232
153
345
30
457
850
25
194
22
1189
161
143
515
3
226
13
1076
1117
675
131
332
368
118
52
63
703
288
110
643
229
915
107
462
1008
1081
348
1106
406
274
127
11
605
806
608
38
264
350
142
450
24
432
949
798
610
87
220
682
113
262
105
13
314
1291
1035
723
1040
417
487
171
110
21
460
119
839
731
1128
150
352
261
612
153
478
462
1147
220
46
109
228
123
335
89
200
695
649
348
694
308
292
261
846
348
562
28
324
495
53
497
197
50
158
205
39
192
719
251
145
592
704
60
114
737
94
237
272
760
356
285
595
1062
308
277
215
30
21
1253
21
1138
1353
1257
67
77
45
297
202
305
75
100
420
1436
457
4
437
248
626
439
18
219
1401
155
204
419
488
432
197
1467
130
383
86
171
1219
723
6
1095
581
1408
575
76
554
122
64
578
513
160
167
910
278
318
266
94
719
893
352
282
430
1081
742
247
45
338
1265
180
162
365
234
965
468
265
118
27
90
613
771
1424
271
125
157
971
807
45
119
191
133
131
190
342
1336
127
55
1074
77
251
75
35
969
645
716
560
159
421
16
582
187
187
328
386
495
42
680
112
46
16
210
16
324
157
488
470
124
695
152
440
602
235
2
780
1454
66
146
225
326
153
621
144
110
228
175
869
505
957
79
22
512
1104
31
176
53
679
685
172
778
859
72
397
248
17
10
113
112
164
536
1640
2
265
369
402
1148
832
1507
372
406
53
1075
686
1407
214
732
1117
413
897
758
1107
13
555
3
61
244
173
700
276
281
220
245
48
162
296
1
64
419
957
189
11
730
18
12
366
1427
690
146
851
410
854
264
8
1435
372
623
1231
461
342
4
280
119
1521
149
831
357
1147
780
372
303
80
148
563
92
143
729
87
212
120
563
381
493
433
279
462
235
94
64
170
82
164
977
762
695
77
107
1324
976
89
56
222
3
162
1061
135
611
1565
496
422
331
16
94
77
1498
837
155
3
167
817
300
217
424
262
824
75
81
250
691
26
667
229
1075
29
1143
93
857
58
33
587
6
313
385
486
1040
1665
456
762
146
630
556
246
181
687
305
18
102
529
126
16
145
854
55
533
277
197
52
202
48
188
240
1218
87
334
141
361
195
1743
1353
199
590
563
311
77
52
27
95
26
11
34
83
274
103
408
500
95
280
113
60
458
759
145
1496
793
1407
158
237
35
84
44
51
997
155
463
416
225
7
518
360
931
306
1023
900
900
87
1209
650
1562
90
696
232
7
68
207
501
65
570
1270
586
617
414
700
310
54
836
147
70
17
42
34
842
59
109
397
293
261
393
1396
179
1059
470
3
26
240
32
29
135
282
1251
122
1601
16
26
40
