RESIDENCE,alamance_regional_medical_center,alleghany_memorial_hospital,angel_medical_center,annie_penn_hospital,anson_county_hospital,ashe_memorial_hospital,betsy_johnson_hospital,blue_ridge_healthcare_hospitals_inc,blue_ridge_regional_hospital,caldwell_memorial_hospital,cape_fear_valley-bladen_county_hospital,cape_fear_valley_health_system,cape_fear_valley_hoke_hospital,carolinaeast_medical_center,carolinas_healthcare_system_carolinas_medical_center,carolinas_healthcare_system_kings_mountain_hospital,carolinas_healthcare_system_university_hospital,carolinas_medical_center_-_lincoln,carolinas_medical_center_northeast,caromont_regional_medical_center,carteret_county_general_hospital,catawba_valley_medical_center,central_carolina_hospital,central_harnett_health,charles_a._cannon_jr._memorial_hospital,chatham_hospital,cleveland_regional_medical_center,cmc_-_pineville,columbus_regional_healthcare_system,cone_health,continuecare_university_nc,davie_county_hospital,davis_medical_center,duke_raleigh,duke_regional_hospital,duke_university_medical_center,first_health_montgomery_hospital,first_health_moore_regional_hospital,first_health_richmond_memorial_hospital,firsthealth_moore_regional_hospital_-_hamlet,firsthealth_moore_regional_hospital_-_hoke_campus,frye_regional_medical_center,granville_health_system,halifax_regional_medical_center,haywood_regional_medical_center,high_point_regional_hospital,highlands-cashiers_hospital,hugh_chatham_memorial_hospital,iredell_health_system,j._arthur_dosher_memorial_hospital,johnston_health_clayton,johnston_health_smithfield,lake_norman_regional_medical_center,lenoir_memorial_hospital,lexington_memorial_hospital,lifebrite_community_hospital_of_stokes,margaret_r._pardee_memorial_hospital,maria_parham_hospital,martin_general_hospital,medwest_harris,medwest_swain,mission_hospital,murphy_medical_center,nash_health_care_system,new_hanover_regional_medical_center,north_carolina_specialty_hospital,northern_hospital_of_surry_county,novant_health_brunswick_medical_center,novant_health_charlotte_orthopedic_hospital,novant_health_forsyth_medical_center,novant_health_huntersville_medical_center,novant_health_kernersville_medical_center,novant_health_matthews_medical_center,novant_health_medical_park_hospital,novant_health_presbyterian_medical_center,novant_health_rowan_medical_center,novant_health_thomasville_medical_center,onslow_memorial_hospital,outer_banks_hospital,park_ridge_health,pender_memorial_hospital,person_county_memorial_hospital,randolph_hospital,rex_healthcare,rutherford_hospital,saint_luke's_hospital,sampson_county_memorial_hospital,scotland_health_care_system,sentara_albemarle_medical_center,southeastern_regional_medical_center,stanly_regional_medical_center,the_mcdowell_hospital,transylvania_regional_hospital,unc_hillsborough,unc_rockingham_health_center,union_regional_medical_center,university_of_north_carolina_hospitals,vidant_beaufort_hospital,vidant_bertie_hospital,vidant_chowan_hospital,vidant_duplin_hospital,vidant_edgecombe_hospital,vidant_medical_center,vidant_roanoke-chowan_hospital,wake_forest_baptist_health_-_wilkes_medical_center,wake_forest_baptist_medical_center,wakemed,wakemed_cary,wakemed_north_family_health&_woman's_hospital,washington_county_hospital,watauga_medical_center,wayne_memorial_hospital,wilson_memorial_hospital
Hoke,,,,,,,,,,,,1648.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,1788.0,,,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,
Iredell,,,,,,,,,,,,,,,1110.0,,,,360.0,,,204.0,,,,,,,,,12.0,13.0,2501.0,,,,,,,,,139.0,,,,,,,6985.0,,,,3691.0,,,,,,,,,,,,,,,,101.0,,727.0,,,22.0,461.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226.0,,,,,,,
Jackson,,,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.0,,74.0,,,,,,,,,,,,,1665.0,13.0,1263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnston,,,,,,,324.0,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,359.0,,524.0,,,,,,,,,,,,,,,2358.0,6394.0,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,1939.0,,,,,,,,,,32.0,,,1018.0,,,,,,,,,,2730.0,354.0,47.0,,,328.0,396.0
Jones,,,,,,,,,,,,,,783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,,,,,,,46.0,,,,,,,,,,,,,,,,4252.0,52.0,,11.0,,,,,,,,,,,,1339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,1587.0,,,,,,,,,,,144.0,,,,,
Lenoir,,,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,2116.0,,,,,,,,,685.0,
Lincoln,,,,,,,,,,,,,,,1501.0,56.0,,3202.0,,822.0,,590.0,,,,,103.0,,,,,,,,,,,,,,,439.0,,,,,,,,,,,201.0,,,,,,,,,,,,,,,,57.0,,682.0,,,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macon,,,1716.0,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,63.0,,217.0,,,,,,,,,,,,,303.0,,1325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.0,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,31.0,,,114.0,1595.0,,,,,,,5.0,,,
McDowell,,,,,,,,658.0,40.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2358.0,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,1900.0,,,,,,,,,,,,,,,,,,,,,
Mecklenburg,,,,,,,,,,,,,,,38747.0,388.0,6156.0,,1924.0,489.0,,,,,,,,8182.0,,,38.0,,92.0,,,,,,,,,,,,,,,,,,,,583.0,,,,,,,,,,,,,,,,1295.0,,5193.0,,5940.0,,21099.0,332.0,,,,,,,,,,,,,,,114.0,,,,,352.0,,,,,,,,,,,,,,,,,
Mitchell,,,,,,,,,681.0,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,1685.0,52.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,,,,,,,560.0,,,,,,,,,,,,,,,,,,,,,,
Moore,,,,,,,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,11.0,9958.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.0,,,,,,,,,,,,,,,,
Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,46.0,126.0,,,,,,,,,,,,7477.0,,16.0,,,,,,,,,,,,,,,,,,440.0,,,,,,,,,,,,,504.0,,,,,411.0,1052.0,,,,883.0,,,,,,739.0
New Hanover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21477.0,,,47.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,441.0,,,,,,,,,,,,,,,,
Northampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.0,627.0,,,,,,,,,
Onslow,,,,,,,,,,,,,,1255.0,,,,,,,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3284.0,,,,,,,,,,,,,6980.0,,,10.0,,,,,,,,,,,,,,,,569.0,,,,153.0,,1155.0,,,,,,,,,,
Orange,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.0,1684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.0,,,6005.0,,,,,,,,,,,,,,,,
Other/Missing,,8.0,41.0,,,,,132.0,,,,,,141.0,871.0,58.0,96.0,,,,94.0,,,,22.0,,,255.0,,,2.0,10.0,,105.0,,906.0,,,,,,,,,133.0,,30.0,,,18.0,,,66.0,,,,99.0,,,67.0,3.0,566.0,35.0,,437.0,17.0,,48.0,,,79.0,,,,,,,,48.0,45.0,,,,,51.0,15.0,,,,,,,27.0,,,,,,,,,,,,,708.0,,160.0,,,109.0,,
Pamlico,,,,,,,,,,,,,,1025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquotank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3244.0,,,,,,,,,,,53.0,,,,92.0,,,,,,,,,
Pender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5192.0,,,,,,,,,,,,,135.0,,,313.0,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,
Perquimans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.0,,,,,,,,,,,213.0,,,,68.0,,,,,,,,,
Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294.0,1470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,896.0,,,,,,,,,,,,56.0,,,442.0,,,,,,,,,,,,,,,,
Pitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,97.0,17608.0,54.0,,,,,,,,,
Polk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.0,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,85.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph,283.0,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,2830.0,,12.0,,,,,7.0,244.0,,10.0,,,,,,2779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.0,,,,,,4938.0,,,,,,,,,,,,,,723.0,,,,,,,,,1079.0,,,,,,,
Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3492.0,2195.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,,,,,,,,,,,,,,,,,,,,,,,,,
Robeson,,,,,,,,,,,22.0,2471.0,118.0,,,,,,,,,,,,,,,,58.0,,,,,,,715.0,,1284.0,,8.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2036.0,,13352.0,,,,,,,831.0,,,,,,,,,,,,,,,,
Rockingham,144.0,,,2497.0,,,,,,,,,,,,,,,,,,,,,,,,,,4200.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,2344.0,,,,,,,,,,,749.0,,,,,,,
Rowan,,,,,,,,,,,,,,,,,,,3590.0,,,,,,,,,,,,9.0,,177.0,,,,,,,,,,,,,,,,212.0,,,,253.0,,178.0,,,,,,,,,,,,,,32.0,516.0,,,,12.0,451.0,7562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.0,,,,,,,
Rutherford,,,,,,,,,,,,,,,,,,,,,,,,,,,994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,,,,,861.0,,,,,,,,,,,,,,,,,,71.0,,,,,3698.0,180.0,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,
SOUTH CAROLINA,,,,,2.0,,,,,,,,,,6599.0,154.0,91.0,,,892.0,,,,,,,183.0,8461.0,,,4.0,,,,,967.0,,235.0,48.0,25.0,,,,,,,8.0,,,,,,58.0,,,,98.0,,,,,,,,,,,58.0,394.0,,,,654.0,,1782.0,,,,,,,,,,,240.0,,1129.0,,,,,,,,1491.0,,,,,,,,,,,,,,,,,
Sampson,,,,,,,347.0,,,,89.0,1306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,732.0,,,2882.0,,,,,,,,,,517.0,,,,164.0,,,,,,,,,,,255.0,
Scotland,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.0,54.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2873.0,,,,,,,,,,,,,,,,,,,,,,,,,
Stanly,,,,,,,,,,,,,,,859.0,,,,2590.0,,,,,,,,,,,,4.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,197.0,,,148.0,,,,,,,,,,,,,,,3472.0,,,,,,,,,,,,,,,,,,,,,,
Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,222.0,,,,,,,,,,,121.0,,,3157.0,,184.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353.0,,,,,,,
Surry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,48.0,,,,,,,,,,,,,,,1633.0,,,,,,,,19.0,,,,,,,,,,,3021.0,,,2773.0,,40.0,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794.0,,,,,,,
Swain,,,55.0,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,,,,,1029.0,142.0,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,,
Transylvania,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,400.0,,,,,1418.0,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,1401.0,,,,,,,,,,,,,,,,,,,,
Tyrrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,155.0,,,,,,,,,,7.0,,,
Union,,,,,3.0,,,,,,,,,,3736.0,94.0,,,,,,,,,,,,1161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0,,,,4268.0,,1883.0,,,,,,,,,,,,,,,,55.0,,,,,6178.0,,,,,,,,,,,,,,,,,
VIRGINIA,,87.0,,126.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,726.0,,38.0,,,314.0,2498.0,,,,,,,42.0,144.0,,,,81.0,,,,,,,,,,57.0,,,,,,,,70.0,917.0,,,1203.0,,,,25.0,,,,,33.0,,,26.0,,,,,,,,,,,,,1171.0,,,,,,,,,,,2607.0,,,,,,,
Vance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0,1325.0,,,,,,,519.0,,,,,,,,,,,,,,,3535.0,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,
Wake,,,,,,,94.0,,,,,,,,,,,,,,,,,144.0,,,,,,,,,44.0,6288.0,1312.0,5677.0,,,,,,,34.0,,,,,,,,835.0,581.0,,,,,,,,,,,,,,225.0,,,,,,,,,,,,,,,,,,23062.0,,,,,,,,,,187.0,,,6109.0,49.0,,,,,,,,,24508.0,11484.0,1499.0,,,,
Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,78.0,,,,,,,,,,,,,,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,6.0,328.0,,,678.0,54.0,,,,,,129.0,,,
Watauga,,,,,,18.0,,,,39.0,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2181.0,,
Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0,,110.0,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,678.0,,,,,,,,,,,,,385.0,,,,340.0,,1575.0,,,,,,,,,9927.0,227.0
Wilkes,,,,,,14.0,,,,59.0,,,,,,,,,,,,,,,24.0,,,,,,,18.0,80.0,,,,,,,,,,,,,,,917.0,105.0,,,,,,,,,,,,,,,,,,,,,1054.0,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3373.0,1652.0,,,,,129.0,,
Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.0,,29.0,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,37.0,1557.0,59.0,,,,,,,,,6191.0
Yadkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,65.0,,,,,,,,,,,,,,,1001.0,88.0,,,,,,,,,,,,,,,,,,,,,2088.0,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.0,,,,,,,
Yancey,,,,,,,,,507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual,11983.0,385.0,2124.0,3055.0,173.0,866.0,4322.0,8429.0,1332.0,4008.0,1145.0,37562.0,1136.0,13664.0,67495.0,2681.0,7797.0,4817.0,24916.0,22485.0,6202.0,13245.0,5633.0,1676.0,1130.0,607.0,8060.0,18992.0,4239.0,48213.0,125.0,644.0,4014.0,9499.0,17581.0,44133.0,184.0,23800.0,2495.0,517.0,538.0,10392.0,2365.0,6010.0,5663.0,17862.0,360.0,3992.0,9193.0,948.0,3615.0,8192.0,5473.0,6126.0,3191.0,258.0,8333.0,5548.0,1408.0,3757.0,233.0,43666.0,1899.0,12865.0,43936.0,1604.0,4163.0,4650.0,2791.0,43900.0,7947.0,2683.0,11692.0,964.0,29172.0,9862.0,4953.0,7745.0,1346.0,4493.0,430.0,1076.0,5616.0,32632.0,4186.0,1135.0,3243.0,6328.0,5718.0,15239.0,4634.0,2138.0,1583.0,2760.0,3677.0,9919.0,40253.0,3735.0,367.0,1694.0,3730.0,3890.0,42342.0,4819.0,3673.0,39042.0,35002.0,13574.0,1970.0,147.0,4579.0,11936.0,7874.0
Calculated,11621.0,376.0,2083.0,2996.0,170.0,849.0,4269.0,7870.0,1294.0,3913.0,1117.0,36208.0,1086.0,13095.0,62936.0,2550.0,7293.0,4655.0,23356.0,22022.0,5976.0,12113.0,5496.0,1637.0,1009.0,585.0,7922.0,18408.0,4124.0,45881.0,114.0,590.0,3584.0,7952.0,16000.0,34895.0,183.0,23162.0,2432.0,486.0,521.0,9343.0,2314.0,5764.0,5390.0,17216.0,355.0,3903.0,8923.0,889.0,3459.0,7925.0,5316.0,6024.0,3035.0,255.0,8051.0,5392.0,1348.0,3626.0,226.0,41356.0,1869.0,12214.0,41999.0,1439.0,4059.0,4494.0,2575.0,41584.0,7675.0,2557.0,11408.0,935.0,27919.0,9156.0,4428.0,7509.0,1322.0,4166.0,417.0,1061.0,5508.0,30128.0,4038.0,1099.0,3125.0,6207.0,5480.0,14790.0,4454.0,2068.0,1522.0,2344.0,3611.0,9562.0,32609.0,3400.0,356.0,1619.0,3291.0,3715.0,39798.0,4370.0,3497.0,34945.0,32225.0,12817.0,1887.0,143.0,4341.0,11624.0,7644.0
Unreported,362.0,9.0,41.0,59.0,3.0,17.0,53.0,559.0,38.0,95.0,28.0,1354.0,50.0,569.0,4559.0,131.0,504.0,162.0,1560.0,463.0,226.0,1132.0,137.0,39.0,121.0,22.0,138.0,584.0,115.0,2332.0,11.0,54.0,430.0,1547.0,1581.0,9238.0,1.0,638.0,63.0,31.0,17.0,1049.0,51.0,246.0,273.0,646.0,5.0,89.0,270.0,59.0,156.0,267.0,157.0,102.0,156.0,3.0,282.0,156.0,60.0,131.0,7.0,2310.0,30.0,651.0,1937.0,165.0,104.0,156.0,216.0,2316.0,272.0,126.0,284.0,29.0,1253.0,706.0,525.0,236.0,24.0,327.0,13.0,15.0,108.0,2504.0,148.0,36.0,118.0,121.0,238.0,449.0,180.0,70.0,61.0,416.0,66.0,357.0,7644.0,335.0,11.0,75.0,439.0,175.0,2544.0,449.0,176.0,4097.0,2777.0,757.0,83.0,4.0,238.0,312.0,230.0
